"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 16 14:38:39 GMT 2021","Mon Aug 16 14:38:39 GMT 2021","0","Selenium-Tests","test_login_improper","TestLogin","","","test_login",""
"broken","Mon Aug 16 14:38:40 GMT 2021","Mon Aug 16 14:38:40 GMT 2021","0","Selenium-Tests","test_logout","TestLogout","","","test_logout",""
"broken","Mon Aug 16 14:38:34 GMT 2021","Mon Aug 16 14:38:34 GMT 2021","0","Selenium-Tests","test_login_1","TestLogin","","","test_login",""
"broken","Mon Aug 16 14:38:42 GMT 2021","Mon Aug 16 14:38:42 GMT 2021","0","Selenium-Tests","test_registration_KP","TestRegistration","","","test_registration",""
"broken","Mon Aug 16 14:38:41 GMT 2021","Mon Aug 16 14:38:41 GMT 2021","0","Selenium-Tests","test_registration_1","TestRegistration","","","test_registration",""
