"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 16 14:59:14 GMT 2021","Mon Aug 16 14:59:18 GMT 2021","3208","Selenium-Tests","test_logout","TestLogout","","","test_logout",""
"passed","Mon Aug 16 14:59:24 GMT 2021","Mon Aug 16 14:59:27 GMT 2021","3541","Selenium-Tests","test_registration_KP","TestRegistration","","","test_registration",""
"broken","Mon Aug 16 14:59:10 GMT 2021","Mon Aug 16 14:59:13 GMT 2021","3243","Selenium-Tests","test_login_improper","TestLogin","","","test_login",""
"passed","Mon Aug 16 14:59:19 GMT 2021","Mon Aug 16 14:59:22 GMT 2021","3551","Selenium-Tests","test_registration_1","TestRegistration","","","test_registration",""
"passed","Mon Aug 16 14:59:06 GMT 2021","Mon Aug 16 14:59:10 GMT 2021","3729","Selenium-Tests","test_login_1","TestLogin","","","test_login",""
