"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 16 14:47:22 GMT 2021","Mon Aug 16 14:47:26 GMT 2021","4071","Selenium-Tests","test_login_1","TestLogin","","","test_login",""
"broken","Mon Aug 16 14:47:31 GMT 2021","Mon Aug 16 14:47:35 GMT 2021","3770","Selenium-Tests","test_logout","TestLogout","","","test_logout",""
"passed","Mon Aug 16 14:47:35 GMT 2021","Mon Aug 16 14:47:39 GMT 2021","4070","Selenium-Tests","test_registration_1","TestRegistration","","","test_registration",""
"passed","Mon Aug 16 14:47:40 GMT 2021","Mon Aug 16 14:47:44 GMT 2021","4072","Selenium-Tests","test_registration_KP","TestRegistration","","","test_registration",""
"broken","Mon Aug 16 14:47:27 GMT 2021","Mon Aug 16 14:47:30 GMT 2021","3700","Selenium-Tests","test_login_improper","TestLogin","","","test_login",""
