"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 19 19:18:24 GMT 2021","Thu Aug 19 19:18:28 GMT 2021","4667","Selenium-Tests","test_login_1","TestLogin","","","test_login",""
"passed","Thu Aug 19 19:18:45 GMT 2021","Thu Aug 19 19:18:49 GMT 2021","4089","Selenium-Tests","test_registration_KP","TestRegistration","","","test_registration",""
"broken","Thu Aug 19 19:18:33 GMT 2021","Thu Aug 19 19:18:39 GMT 2021","6558","Selenium-Tests","test_logout","TestLogout","","","test_logout",""
"broken","Thu Aug 19 19:18:29 GMT 2021","Thu Aug 19 19:18:32 GMT 2021","3727","Selenium-Tests","test_login_improper","TestLogin","","","test_login",""
"passed","Thu Aug 19 19:18:40 GMT 2021","Thu Aug 19 19:18:44 GMT 2021","4091","Selenium-Tests","test_registration_1","TestRegistration","","","test_registration",""
